rx,ry,rtheta,hx1,hy1,hx2,hy2
2.35905,11.0659,-0.34,4,11.5,9,7.4
2.36848,11.0626,-0.39,4,11.35,9,7.55
2.37772,11.0588,-0.44,4,11.5,9,7.4
2.38677,11.0545,-0.49,4,11.65,9,7.25
2.3956,11.0498,-0.54,4,11.8,9,7.1
2.40417,11.0447,-0.59,4,11.95,9,6.95
2.41248,11.0391,-0.64,4,12.1,9,6.8
2.4205,11.0331,-0.69,4,12.25,9,6.65
2.42822,11.0268,-0.74,4,12.4,9,6.5
2.4356,11.02,-0.79,4,12.55,9,6.35
2.44264,11.0129,-0.84,4,12.7,9,6.2
2.44931,11.0055,-0.89,4,12.85,9,6.05
2.45561,10.9977,-0.94,4,13,9,5.9
2.4615,10.9896,-0.99,4,13.15,9,5.75
2.46699,10.9813,-1.04,4,13.3,9,5.6
2.47205,10.9726,-1.09,4,13.45,9,5.45
2.47668,10.9638,-1.14,4,13.6,9,5.3
2.48085,10.9547,-1.19,4,13.75,9,5.15
2.48457,10.9454,-1.24,4,13.9,9,5
2.48782,10.936,-1.28,4,14.05,9,4.85
2.49069,10.9264,-1.32,4,14.2,9,4.7
2.49317,10.9167,-1.36,4,14.35,9,4.55
2.49526,10.9069,-1.4,4,14.5,9,4.4
2.49696,10.897,-1.44,4,14.65,9,4.25
2.49826,10.8871,-1.48,4,14.8,9,4.1
2.49917,10.8772,-1.52,4,14.95,9,3.95
2.49968,10.8672,-1.55,4,15.1,9,3.8
2.49989,10.8572,-1.57,4,15.25,9,3.65
2.49989,10.8472,-1.58,4,15.4,9,3.5
2.4998,10.8372,-1.58,4,15.55,9,3.35
2.49971,10.8272,-1.58,4,15.4,9,3.2
2.49962,10.8172,-1.58,4,15.25,9,3.05
2.49953,10.8072,-1.58,4,15.1,9,2.9
2.49943,10.7972,-1.58,4,14.95,9,2.75
2.49934,10.7872,-1.58,4,14.8,9,2.6
2.49925,10.7772,-1.58,4,14.65,9,2.45
2.49916,10.7672,-1.58,4,14.5,9,2.6
2.49907,10.7572,-1.58,4,14.35,9,2.75
2.49897,10.7472,-1.58,4,14.2,9,2.9
2.49888,10.7372,-1.58,4,14.05,9,3.05
2.49879,10.7272,-1.58,4,13.9,9,3.2
2.4987,10.7172,-1.58,4,13.75,9,3.35
